Компонент,Наименование партии,Наименование показателя,Единица измерения_по_партиям,Значение показателя
Антиоксидант_1,01028.23,"Активный Азот / Кислород, % масс. (N или O)",,4.102564103
Антиоксидант_1,01028.23,"Дипольный момент, Д",,1.66
Антиоксидант_1,01028.23,"Кинематическая вязкость, при 100°C, ASTM D445",,6.8
Антиоксидант_1,01028.23,"Потенциал ионизации,эВ",,7.18
Антиоксидант_1,01028.23,"Стерический фактор, Å3",,62.4
Антиоксидант_1,01028.23,"Температура плавления, °C",,-31.0
Антиоксидант_1,01028.23,"Химический потенциал, Дж/моль",,-2.75
Антиоксидант_1,01028.23,"Щелочное число, ASTM D2896",,0.0
Антиоксидант_1,01028.23,"Щелочное число, ГОСТ 11362",,0.0
Антиоксидант_1,01028.23,"Энергия ВЗМО, эВ",,-5.58
Антиоксидант_1,01028.23,"Энергия НСМО, эВ",,0.035
Антиоксидант_1,01028.23,"Энергия диссоциации связи Х-Н, ккал/моль",,355.19
Антиоксидант_1,02717.22,"Активный Азот / Кислород, % масс. (N или O)",,4.102564103
Антиоксидант_1,02717.22,"Дипольный момент, Д",,1.66
Антиоксидант_1,02717.22,"Кинематическая вязкость, при 100°C, ASTM D445",,6.65
Антиоксидант_1,02717.22,"Потенциал ионизации,эВ",,7.18
Антиоксидант_1,02717.22,"Стерический фактор, Å3",,62.4
Антиоксидант_1,02717.22,"Температура плавления, °C",,-31.0
Антиоксидант_1,02717.22,"Химический потенциал, Дж/моль",,-2.75
Антиоксидант_1,02717.22,"Щелочное число, ASTM D2896",,0.0
Антиоксидант_1,02717.22,"Щелочное число, ГОСТ 11362",,0.0
Антиоксидант_1,02717.22,"Энергия ВЗМО, эВ",,-5.58
Антиоксидант_1,02717.22,"Энергия НСМО, эВ",,0.035
Антиоксидант_1,02717.22,"Энергия диссоциации связи Х-Н, ккал/моль",,355.19
Антиоксидант_1,typical,"Активный Азот / Кислород, % масс. (N или O)",,4.102564103
Антиоксидант_1,typical,"Дипольный момент, Д",,1.66
Антиоксидант_1,typical,"Кинематическая вязкость, при 100°C, ASTM D445",,6.725
Антиоксидант_1,typical,"Потенциал ионизации,эВ",,7.18
Антиоксидант_1,typical,"Стерический фактор, Å3",,62.4
Антиоксидант_1,typical,"Температура плавления, °C",,-31.0
Антиоксидант_1,typical,"Химический потенциал, Дж/моль",,-2.75
