Компонент,Партия,Свойство,Метод,Значение,Причина
Антиоксидант_1,01028.23,% масс. (Mo),skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,01028.23,COC (°C),skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,01028.23,"Активный Азот / Кислород, % масс. (N или O)",mean_by_component,4.102564103,На основе 1 партий компонента «Антиоксидант_1» (CV=0.0%)
Антиоксидант_1,01028.23,Анилиновая точка,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,01028.23,Атомное отношение P:Zn,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,01028.23,Группа по API,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,01028.23,Деаэрация | ASTM D3427,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,01028.23,Деэм.вода | ASTM D1401,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,01028.23,Деэм.время | ASTM D1401,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,01028.23,Деэм.масло | ASTM D1401,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,01028.23,Деэм.эмульсия | ASTM D1401,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,01028.23,"Динамическая вязкость CCS -15°C, ASTM D5293",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,01028.23,"Динамическая вязкость CCS -20°C, ASTM D5293",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,01028.23,"Динамическая вязкость CCS -25°C, ASTM D5293",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,01028.23,"Динамическая вязкость CCS -30°C, ASTM D5293",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,01028.23,"Динамическая вязкость CCS -35°C, ASTM D5293",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,01028.23,"Дипольный момент, Д",mean_by_component,1.66,На основе 1 партий компонента «Антиоксидант_1» (CV=0.0%)
Антиоксидант_1,01028.23,Длина углеродной цепи,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,01028.23,"Индекс вязкости, ГОСТ 25371",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,01028.23,Индекс полидисперсности,skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
Антиоксидант_1,01028.23,"Индекс стабильности, %",skip,,Свойство не измеряется ни у одного компонента типа «Антиоксидант»
