Компонент,Наименование партии,% масс. (Mo),COC (°C),"Активный Азот / Кислород, % масс. (N или O)",Анилиновая точка,Атомное отношение P:Zn,Группа по API,Деаэрация | ASTM D3427,Деэм.вода | ASTM D1401,Деэм.время | ASTM D1401,Деэм.масло | ASTM D1401,Деэм.эмульсия | ASTM D1401,"Динамическая вязкость CCS -15°C, ASTM D5293","Динамическая вязкость CCS -20°C, ASTM D5293","Динамическая вязкость CCS -25°C, ASTM D5293","Динамическая вязкость CCS -30°C, ASTM D5293","Динамическая вязкость CCS -35°C, ASTM D5293","Дипольный момент, Д",Длина углеродной цепи,"Индекс вязкости, ГОСТ 25371",Индекс полидисперсности,"Индекс стабильности, %","Испаряемость по NOACK, ASTM D5800",Кинематическая вязкость,"Кинематическая вязкость, при -30⁰С | ASTM D445","Кинематическая вязкость, при 100°C, ASTM D445","Кинематическая вязкость, при 40°C, ASTM D445","Кислотное число, ГОСТ 11362","Масса гидрофобного хвоста, г/моль",Массовая доля кальция | ASTM D6481,"Массовая доля кальция, ASTM D6481",Массовая доля серы | ASTM D6481,"Массовая доля серы, ASTM D6481","Массовая доля сульфатной золы, ГОСТ 12417",Массовая доля фосфора | ASTM D6481,"Массовая доля фосфора, ASTM D6481",Массовая доля цинка | ASTM D6481,"Массовая доля цинка, ASTM D6481",Общее содержание азота | ASTM D3228,Определение содержания воды методом Карла Фишера | ASTM D 6304,Отношение S:Mo,Отношение Мыло/Основание,"Плотность при 15°С, ASTM D4052","Плотность при 20°С, ASTM D4052",Последовательность 1 | ASTM D892,Последовательность 2 | ASTM D892,Последовательность 3 | ASTM D892,"Потенциал ионизации,эВ","Размер мицелл, нм","Содержание MgCO3, CaCO3, % масс.",Содержание Азота,Содержание Бора,"Содержание воды, % масс.",Содержание масла,"Содержание масла, % масс.","Содержание металла (Ca/Mg), % масс.","Содержание мыла, % масс.",Содержание полимера,"Содержание серы, % масс.","Содержание серы, мг/кг",Соотношение мономеров (EO:PO),Средневесовая масса,Степень полисульфидности,"Стерический фактор, Å3","Температура застывания, ГОСТ 20287, метод Б","Температура плавления, °C",Температура проведения теста | -,"Химический потенциал, Дж/моль",Цвет | ASTM D1500,Цвет Сейболт | -,"Щелочное число, ASTM D2896","Щелочное число, ГОСТ 11362","Энергия ВЗМО, эВ","Энергия НСМО, эВ","Энергия диссоциации связи Х-Н, ккал/моль"
Антиоксидант_1,01028.23,,,4.102564103,,,,,,,,,,,,,,1.66,,,,,,,,6.8,,,,,,,,,,,,,,,,,,,,,,7.18,,,,,,,,,,,,,,,,62.4,,-31.0,,-2.75,,,0.0,0.0,-5.58,0.035,355.19
Антиоксидант_1,02717.22,,,4.102564103,,,,,,,,,,,,,,1.66,,,,,,,,6.65,,,,,,,,,,,,,,,,,,,,,,7.18,,,,,,,,,,,,,,,,62.4,,-31.0,,-2.75,,,0.0,0.0,-5.58,0.035,355.19
Антиоксидант_1,typical,,,4.102564103,,,,,,,,,,,,,,1.66,,,,,,,,6.725,,,,,,,,,,,,,,,,,,,,,,7.18,,,,,,,,,,,,,,,,62.4,,-31.0,,-2.75,,,0.0,0.0,-5.58,0.035,355.19
Антиоксидант_10,4793.19,,,4.102564103,,,,,,,,,,,,,,1.66,,,,,,,,21.67,,,,,0.253,,,8.64,,0.432,,0.0278,,,,,,,,,,7.18,,,,,,,,,,,,,,,,62.4,,-31.0,,-2.75,,,8.53,5.26,-5.26,-0.22,355.19
Антиоксидант_11,typical,,,4.102564103,,,,,,,,,,,,,,1.66,,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,,,7.18,,,,,,,,,,,,,,,,62.4,,-31.0,,-2.75,,,,,-5.58,0.035,355.19
Антиоксидант_12,02670.23,,,4.43,,,,,,,,,,,,,,3.16,,,,,,,,5.73,,,,,,,,,,,,,8.666,,,,,,,,,6.01,,,,,,,,,,,,,,,,57.8,,-31.0,,-2.16,,,189.9,,-4.64,-0.09,359.82
Антиоксидант_12,typical,,,4.43,,,,,,,,,,,,,,3.16,,,,,,,,5.73,,,,,,,,,,,,,8.666,,,,,,,,,6.01,,,,,,,,,,,,,,,,57.8,,-31.0,,-2.16,,,189.9,,-4.64,-0.09,359.82
Антиоксидант_13,typical,,,9.4,,,,,,,,,,,,,,3.99,,,,,,,,8.5,,,,,,,,,,,,,,,,,,,,,,6.72,,,,,,,,,,,,,,,,64.5,,128.0,,-2.78,,,,,-5.44,-0.33,368.87
Антиоксидант_14,19776.19,,,3.5,,,,,,,,,,,,,,1.36,,,,,,,,14.06,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,,,,,,,,,,,,72.1,,-31.0,,-2.56,,,0.0,,-5.15,-0.34,372.38
Антиоксидант_14,typical,,,3.5,,,,,,,,,,,,,,1.36,,,,,,,,14.06,,,,,,,,,,,,,,,,,,,,,,6.5,,,,,,,,,,,,,,,,72.1,,-31.0,,-2.56,,,0.0,,-5.15,-0.34,372.38
