,"Массовая доля, %","Температура испытания | ASTM D445 Daimler Oxidation Test (DOT), °C","Время испытания | - Daimler Oxidation Test (DOT), ч","Количество биотоплива | - Daimler Oxidation Test (DOT), % масс","Дозировка катализатора, категория",Деаэрация | ASTM D3427,Деэм.вода | ASTM D1401,Деэм.время | ASTM D1401,Деэм.масло | ASTM D1401,Деэм.эмульсия | ASTM D1401,"Динамическая вязкость CCS -15°C, ASTM D5293","Динамическая вязкость CCS -20°C, ASTM D5293","Динамическая вязкость CCS -25°C, ASTM D5293","Динамическая вязкость CCS -30°C, ASTM D5293","Динамическая вязкость CCS -35°C, ASTM D5293","Индекс вязкости, ГОСТ 25371","Испаряемость по NOACK, ASTM D5800","Кинематическая вязкость, при -30⁰С | ASTM D445","Кинематическая вязкость, при 100°C, ASTM D445","Кинематическая вязкость, при 40°C, ASTM D445","Кислотное число, ГОСТ 11362",Массовая доля кальция | ASTM D6481,"Массовая доля кальция, ASTM D6481",Массовая доля серы | ASTM D6481,"Массовая доля серы, ASTM D6481","Массовая доля сульфатной золы, ГОСТ 12417",Массовая доля фосфора | ASTM D6481,"Массовая доля фосфора, ASTM D6481",Массовая доля цинка | ASTM D6481,"Массовая доля цинка, ASTM D6481",Общее содержание азота | ASTM D3228,Определение содержания воды методом Карла Фишера | ASTM D 6304,"Плотность при 15°С, ASTM D4052","Плотность при 20°С, ASTM D4052",Последовательность 1 | ASTM D892,Последовательность 2 | ASTM D892,Последовательность 3 | ASTM D892,"Температура застывания, ГОСТ 20287, метод Б",Температура проведения теста | -,Цвет | ASTM D1500,Цвет Сейболт | -,"Щелочное число, ASTM D2896","Щелочное число, ГОСТ 11362"
"Массовая доля, %",1.0,0.0029960432656680152,-0.001735459870467756,0.0024374490643003545,0.0024225150240845448,0.024665570604260886,0.035725162427531355,0.07324648566692119,0.03836390523106422,0.07040903806538701,0.12643260732633432,0.12489457298480591,0.10580258811311445,0.0751671506649458,0.04152437926067043,0.1059694978801655,0.16157128657522019,-0.02143389632496739,-0.06912009487710112,-0.051685531209627135,-0.004615962383668546,-0.028452781297728463,-0.02644676599454317,0.01885765263398982,0.08414358523450115,0.018195224509379895,0.01848707088487309,0.15398411299354292,0.018282384950932283,0.15279828493642206,-0.02241987927264644,0.04245607191303042,0.20210486508397302,0.20207723199822353,0.009857914832700687,0.005663619489148045,0.009035332991242814,-0.16485857315634683,0.024665570604260847,0.00046083999620694576,-0.014747744028407317,-0.054173238387575186,0.050082600510218414
"Температура испытания | ASTM D445 Daimler Oxidation Test (DOT), °C",0.0029960432656680152,1.0,-0.7021316890231074,-0.6963377016335125,-0.15132454091594888,-0.003938945048256685,0.1439322996844761,0.10631792824617729,0.14394776644446827,0.031574041330190296,0.10923867783649209,0.10906882754993663,0.10620803575637029,0.04956228994434798,0.07470448564016534,0.1515508080031705,0.09324508854443822,0.009502625820776874,0.10698548637015202,0.06959127400726983,0.06589928638450282,0.00953752906914646,0.0372583788170865,0.023269218193719812,-0.053982576436264834,0.0034136533319520787,0.023293351085425743,-0.010591924423205418,0.023286156765133112,-0.0034686292075099463,0.014065128983351416,-0.002343495304473626,-0.045210809061504625,-0.04518190701976492,0.0341864736044854,0.0300991811554483,0.03228775959358574,-0.13347933892635486,-0.003938945048256671,-2.715513668772839e-05,0.013441183724095019,0.018888649518745155,0.009632045434109759
"Время испытания | - Daimler Oxidation Test (DOT), ч",-0.001735459870467756,-0.7021316890231074,1.0,0.4765584599670894,0.11294383432909447,0.018495945590066273,-0.10559405141817403,-0.07799875918408189,-0.10560539840459371,-0.023163882957532137,-0.07430746602911219,-0.07535172758265367,-0.07355276022924384,-0.03950770623002884,-0.050687728367759345,-0.09472278548767869,-0.06484384866642483,-0.006971477296801096,-0.07041326836534843,-0.050713432608733094,-0.04867685927784582,-0.006997083609012696,-0.032240084245730875,-0.017071157952695367,0.026351864872095045,0.007047200397438048,-0.017088862733437765,0.0059153878423122965,-0.017083584714337387,0.0006612586748059061,-0.010318698140216504,-0.002383903102675463,0.05028298779669899,0.05026483088876639,-0.025080459768318696,-0.02208187105702267,-0.023687493037884574,0.08368030938175397,0.0184959455900663,-0.004176790350611425,-0.009860948851609635,-0.021514177629239628,-0.009588694317660459
"Количество биотоплива | - Daimler Oxidation Test (DOT), % масс",0.0024374490643003545,-0.6963377016335125,0.4765584599670894,1.0,0.32504174093272625,-0.0024222445960605933,-0.20943225543909166,-0.15470053320220767,-0.20945476073106992,-0.04594259039565678,-0.14964851499092927,-0.14162350779489383,-0.1361871625758644,-0.061484465032648136,-0.05405152875865174,-0.21432570478798937,-0.13144369276980794,-0.013827030920798691,-0.1330156987518128,-0.09740717043811868,-0.07823428705553362,-0.013877817756306046,-0.056968977277701886,-0.03385845192009195,0.04402137350500466,0.0039039322871547446,-0.033893567081534744,0.00867683716691669,-0.0338830988077106,0.0012366950187149962,-0.020465814084000125,-0.004721847908874374,0.08104300905276547,0.08101677334482213,-0.04974387464239619,-0.043796558590908495,-0.04698110382161265,0.20207707153890306,-0.0024222445960606076,-0.004077291443000257,-0.019557927089884283,-0.03446369596531283,-0.016149091238095666
"Дозировка катализатора, категория",0.0024225150240845448,-0.15132454091594888,0.11294383432909447,0.32504174093272625,1.0,0.057101442937753474,-0.08121698809048586,-0.05999224587603972,-0.08122571555238893,-0.01781635216212106,-0.011697205081831247,-0.010034363322141783,-0.005337779211771163,0.01489278911537971,0.07264232360990797,-0.03564223464094275,-0.003877775827024372,-0.005362067095476217,-0.009496054751461772,-0.03025072130615507,0.003960196874671822,-0.005381762026449803,-0.05723229865267031,-0.013130171761704295,-0.03406609375318072,-0.013146271908785595,-0.013143789280375004,-0.0352612909500903,-0.013139729725801056,-0.030344966590562298,-0.007936560561015086,-0.016960664773697124,0.028332653918595713,0.028323271682100002,-0.019290474936326414,-0.016984129641465708,-0.018219083500571404,0.027110682915964905,0.05710144293775358,-0.018684484382733665,-0.007584485628555459,-0.03841300436503471,-0.022822478235373023
Деаэрация | ASTM D3427,0.024665570604260886,-0.003938945048256685,0.018495945590066273,-0.0024222445960605933,0.057101442937753474,1.0,-0.01652957207058111,-0.012209836577283565,-0.016531348314860878,-0.003626047752109767,0.07827730874092446,0.05828651511566797,0.05459641657446565,0.06324481545753753,-0.009295362148646175,0.14434431452086952,-0.013192852491307337,-0.0010913070847100958,-0.02575215791056969,-0.001647611226014043,-0.007867959280814681,-0.0010953154675448962,-0.017520100187231023,-0.0026722995464002414,-0.011760195123074607,-0.002675576305952452,-0.0026750710325336557,-0.0149654095757819,-0.002674244817458674,-0.014410343739507815,-0.0016152772082568556,-0.003451895192535867,0.21309392806585303,0.21298542716358146,-0.003926066494616776,-0.0034566708463987872,-0.003708013075381556,-0.14431138738018257,1.0,-0.0038027331284675387,-0.0015436216580183492,-0.021525888460309752,-0.0058833810244285105
Деэм.вода | ASTM D1401,0.035725162427531355,0.1439322996844761,-0.10559405141817403,-0.20943225543909166,-0.08121698809048586,-0.01652957207058111,1.0,0.7324418314111153,0.9987844880734886,0.21191393040170048,0.4640445020756234,0.417913404529688,0.39831618894321014,0.3122292658551048,0.32508506549509714,0.635319402465964,0.2620474044540393,-0.0055018459278946535,-0.13187474848436054,-0.012946582746209261,-0.039666469994090216,-0.005522054268045707,-0.08836482057167262,-0.0134724502236533,-0.05715657453660984,-0.013488970070771992,-0.01348642272498761,-0.07543923629572057,-0.013482257345591253,-0.07266648109681793,-0.008143451513493879,-0.017402796861359853,-0.0751652521005852,-0.07516475620286216,0.23302536041572905,0.21411870314126216,0.22931141448479953,-0.5089774491606461,-0.016529572070581137,-0.01917155315021809,-0.007782198661006825,-0.108523186029834,-0.029661180051904025
Деэм.время | ASTM D1401,0.07324648566692119,0.10631792824617729,-0.07799875918408189,-0.15470053320220767,-0.05999224587603972,-0.012209836577283565,0.7324418314111153,1.0,0.7385377452716066,0.30729872934901287,0.44160384553934634,0.4101567501991649,0.3913694026756395,0.2429522284728586,0.19396758576819786,0.45877438582022123,0.18522507341517278,-0.0040640277537823365,-0.09691647802219522,-0.006994407176667042,-0.029300281589718053,-0.00407895497208471,-0.06526925073922073,-0.009951643927864342,-0.042181868735646076,-0.009963846580948095,-0.009961964942657688,-0.05571534607097998,-0.00995888811758957,-0.053676467298844184,-0.006015292575647275,-0.012854858235745979,-0.0555220329068209,-0.0555216666039223,0.1442805522861198,0.11651151121628665,0.12778720051190862,-0.33795351115040523,-0.012209836577283577,-0.014161378763911363,-0.005748447295375653,-0.08016241198577097,-0.021909711853199763
Деэм.масло | ASTM D1401,0.03836390523106422,0.14394776644446827,-0.10560539840459371,-0.20945476073106992,-0.08122571555238893,-0.016531348314860878,0.9987844880734886,0.7385377452716066,1.0,0.21867668195683593,0.4761268365969525,0.4298481077417735,0.41033046390581174,0.3201962408204924,0.33287025879249554,0.6327202112242244,0.2611687895357693,-0.0055024371484245,-0.13181904692403526,-0.01259839086477777,-0.03967073249647851,-0.005522647660135023,-0.08837480668649568,-0.013473897953972275,-0.05709721144908591,-0.013490419576290054,-0.013487871956771605,-0.07544856483964754,-0.013483706129769455,-0.07267438345688979,-0.008144326597198855,-0.017404666941132293,-0.07517332925155532,-0.07517283330054382,0.22554313074668844,0.20442827589925186,0.21965329973072878,-0.5071944484321959,-0.016531348314860844,-0.019173613298023095,-0.007783034924994632,-0.10853484777688854,-0.029664367400080677
Деэм.эмульсия | ASTM D1401,0.07040903806538701,0.031574041330190296,-0.023163882957532137,-0.04594259039565678,-0.01781635216212106,-0.003626047752109767,0.21191393040170048,0.30729872934901287,0.21867668195683593,1.0,0.3240632357544239,0.3211877833311717,0.34867390032176654,0.014644206068043977,-0.01028015524236413,0.12147062443738876,0.009513149150405282,-0.0012069251384192285,-0.02769173325014907,0.003273892585177745,-0.008701526799486162,-0.001211358187627383,-0.01938522956771374,-0.002955415157772536,-0.012214862949621881,-0.0029590390721880946,-0.0029584802677970526,-0.016553550004607998,-0.0029575665197258544,-0.015940769255631253,-0.0017864070484603348,-0.0038176047250410346,-0.016488799120285426,-0.01648869033653613,-0.004342011899168767,-0.003822886333472091,-0.004100856905418142,-0.10594550825980444,-0.0036260477521097793,-0.004205612033267685,-0.0017071599821654342,-0.023806439336419835,-0.006506693264222436
