,"Массовая доля, %","Температура испытания | ASTM D445 Daimler Oxidation Test (DOT), °C","Время испытания | - Daimler Oxidation Test (DOT), ч","Количество биотоплива | - Daimler Oxidation Test (DOT), % масс","Дозировка катализатора, категория",% масс. (Mo),CAS,COC (°C),SMILES для наиболее вероятной (средней) молекулы сульфокислоты,"Активный Азот / Кислород, % масс. (N или O)",Анилиновая точка,Атомное отношение P:Zn,Группа по API,Деаэрация | ASTM D3427,Деэм.вода | ASTM D1401,Деэм.время | ASTM D1401,Деэм.масло | ASTM D1401,Деэм.эмульсия | ASTM D1401,"Динамическая вязкость CCS -15°C, ASTM D5293","Динамическая вязкость CCS -20°C, ASTM D5293","Динамическая вязкость CCS -25°C, ASTM D5293","Динамическая вязкость CCS -30°C, ASTM D5293","Динамическая вязкость CCS -35°C, ASTM D5293","Дипольный момент, Д",Длина углеродной цепи,"Индекс вязкости, ГОСТ 25371",Индекс полидисперсности,"Индекс стабильности, %","Испаряемость по NOACK, ASTM D5800",Категория,Кинематическая вязкость,"Кинематическая вязкость, при -30⁰С | ASTM D445","Кинематическая вязкость, при 100°C, ASTM D445","Кинематическая вязкость, при 40°C, ASTM D445","Кислотное число, ГОСТ 11362",Класс полиамина,Класс субстрата,"Масса гидрофобного хвоста, г/моль",Массовая доля кальция | ASTM D6481,"Массовая доля кальция, ASTM D6481",Массовая доля серы | ASTM D6481,"Массовая доля серы, ASTM D6481","Массовая доля сульфатной золы, ГОСТ 12417",Массовая доля фосфора | ASTM D6481,"Массовая доля фосфора, ASTM D6481",Массовая доля цинка | ASTM D6481,"Массовая доля цинка, ASTM D6481",Модификация,Номер CAS,Номер CAS / SMILES,Общее содержание азота | ASTM D3228,Определение содержания воды методом Карла Фишера | ASTM D 6304,Отношение S:Mo,Отношение Мыло/Основание,"Плотность при 15°С, ASTM D4052","Плотность при 20°С, ASTM D4052",Последовательность 1 | ASTM D892,Последовательность 2 | ASTM D892,Последовательность 3 | ASTM D892,"Потенциал ионизации,эВ",Происхождение,Разветвленность радикала / радикалов,"Размер мицелл, нм","Содержание MgCO3, CaCO3, % масс.",Содержание Азота,Содержание Бора,Содержание ароматики,"Содержание воды, % масс.","Содержание других элементов (например, бора)",Содержание масла,"Содержание масла, % масс.","Содержание металла (Ca/Mg), % масс.","Содержание мыла, % масс.",Содержание насыщ. у/в,Содержание полимера,"Содержание серы, % масс.","Содержание серы, мг/кг",Соотношение мономеров (EO:PO),Средневесовая масса,Степень полисульфидности,"Стерический фактор, Å3",Структура УВ-радикала,"Температура застывания, ГОСТ 20287, метод Б","Температура плавления, °C",Температура проведения теста | -,"Температура разложения, °C",Тип АО,Тип лиганда,Тип полимера,Тип спиртового радикала,Тип сукцинимида,"Химический потенциал, Дж/моль",Цвет | ASTM D1500,Цвет Сейболт | -,"Щелочное число, ASTM D2896","Щелочное число, ГОСТ 11362","Энергия ВЗМО, эВ","Энергия НСМО, эВ","Энергия диссоциации связи Х-Н, ккал/моль"
"Массовая доля, %",1.0,0.004525943576480658,-0.0038178276047183793,0.001640183527245984,0.0029054965914199152,,,,,,,,,0.030030626011098537,0.027429504768289523,0.03233084085438667,0.03311017873936326,0.06702320314292204,0.1616116747492818,0.20594225960751097,0.19888331651840463,0.17955703139606757,0.08388206700509133,,,0.09770886356379935,,,0.1011842518094347,,,-0.023524357215096266,0.05976407728399329,0.20043724812370567,0.015449524759843748,,,,0.006684817709352409,0.08885526855617637,0.02062840966241475,0.09655071314070175,0.02104267981087083,0.00677064153546738,0.1338372379944213,0.006747829387593236,0.1386747740866499,,,,-0.019226426947627096,0.04592896238046238,,,0.18401180915090778,0.18373029640735095,0.060069648514437475,0.007519604600294056,0.03240386195875162,,,,,,,,,,,,,,,,,,,,,,,,-0.14298283147186172,,0.030030626011098537,,,,,,,,0.01955520037947106,-0.012906167819925382,-0.029594607938801174,0.09354958049242354,,,
"Температура испытания | ASTM D445 Daimler Oxidation Test (DOT), °C",0.004525943576480658,1.0,-0.7167275986891024,-0.7102754256085616,-0.14754602729292918,,,,,,,,,-0.0034433986650048353,0.14468194360671452,0.14476236456492858,0.14468321923454924,0.03175625900304892,0.15645962543334616,0.0993309676222555,0.09761294053794005,0.015298075329950369,0.12734114356973503,,,0.15316961466879642,,,0.14327211787920868,,,0.009557466642228328,0.13904265520515952,0.08647428346162507,0.050945988031132865,,,,0.025314254140168458,0.09483806481057447,0.023432186907551736,0.05454577051285214,0.003750560134652574,0.02531425366215119,0.08087647155440485,0.02531425366215119,0.09056570475073036,,,,0.01912535045646294,-0.0002953981805514666,,,-0.04616509997729286,-0.04606022891858677,0.05350501017309497,0.030272887228983327,0.04289023194619845,,,,,,,,,,,,,,,,,,,,,,,,-0.14662519932530327,,-0.0034433986650048353,,,,,,,,-0.01563708158434473,0.013518754447242189,0.016596319284672832,0.022979119732288524,,,
"Время испытания | - Daimler Oxidation Test (DOT), ч",-0.0038178276047183793,-0.7167275986891024,1.0,0.48272214542274483,0.11294383432909509,,,,,,,,,0.018495945590066315,-0.10553496264948657,-0.1055936238936597,-0.10553589312728176,-0.02316388295753206,-0.09947735230489184,-0.06251823933227033,-0.06126325812015469,-0.011394692845385699,-0.07554552938286051,,,-0.09565343277232703,,,-0.10090447003709832,,,-0.006971477296801191,-0.09784072285057996,-0.055432353213123474,-0.04001065593222939,,,,-0.018464908602861114,-0.06625473085301474,-0.017092077341774776,-0.043446443952398696,0.007047200397437793,-0.018464908254182257,-0.05390323468062878,-0.018464908254182257,-0.06035665201445581,,,,-0.01395055316348049,-0.0033360556169086462,,,0.050042748751005235,0.04990881031339799,-0.03902801627774043,-0.022081871057022525,-0.03128530702334167,,,,,,,,,,,,,,,,,,,,,,,,0.09206698009727296,,0.018495945590066315,,,,,,,,0.005424699156030002,-0.009860948851609659,-0.020107886311269692,-0.008719733490675109,,,
"Количество биотоплива | - Daimler Oxidation Test (DOT), % масс",0.001640183527245984,-0.7102754256085616,0.48272214542274483,1.0,0.3176533991678403,,,,,,,,,-0.002435890290217654,-0.20846214699035945,-0.20857801995414746,-0.20846398495376084,-0.04575538430802698,-0.22942211033963944,-0.1363181345502806,-0.1337642255293386,-0.0330944688020271,-0.14525449928098064,,,-0.2162416757008361,,,-0.21631230196344634,,,-0.013770688769867999,-0.17862406437977355,-0.12056920462888078,-0.060083707159858966,,,,-0.03647354767270496,-0.13520477916969137,-0.03376180793303175,-0.09475611961525991,0.0026452570934824477,-0.036473546983963136,-0.1197972175684569,-0.036473546983963136,-0.1340312701694577,,,,-0.027556386918155054,-0.00660603313747146,,,0.07911906761917942,0.07916669186240569,-0.07709164680385708,-0.04361809711725509,-0.06179755132902493,,,,,,,,,,,,,,,,,,,,,,,,0.22112462265344113,,-0.002435890290217654,,,,,,,,0.018047209885025776,-0.019478232780505655,-0.0267952875325813,-0.0067545669034670035,,,
"Дозировка катализатора, категория",0.0029054965914199152,-0.14754602729292918,0.11294383432909509,0.3176533991678403,1.0,,,,,,,,,0.057101442937753565,-0.08117154034264167,-0.08121665926274554,-0.08117225601367613,-0.017816352162121043,-0.022206012348392253,-0.016245928271116226,-0.015125111239628395,0.017648978491235666,-0.025361080053959716,,,-0.03507394429133415,,,-0.04739879812795744,,,-0.005362067095476073,-0.018160280814782204,-0.028482942279915064,-0.00429527783622422,,,,-0.014202166144298376,-0.04163473849265581,-0.013146261775781017,-0.030497221634278253,-0.013146271908785579,-0.014202165876114269,-0.029757994841822993,-0.014202165876114269,-0.0331725566275104,,,,-0.010729978582288654,-0.016984101548073036,,,0.02748907477117362,0.027953165270777396,-0.030018148661345972,-0.016984129641465652,-0.02406289344708896,,,,,,,,,,,,,,,,,,,,,,,,0.03389789302613941,,0.057101442937753565,,,,,,,,-0.02011048233606152,-0.007584485628555378,-0.011695381859801714,-0.015019491755837278,,,
% масс. (Mo),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COC (°C),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMILES для наиболее вероятной (средней) молекулы сульфокислоты,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Активный Азот / Кислород, % масс. (N или O)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
