feature_1,feature_2,Пирсон,Спирман
Деаэрация | ASTM D3427,Температура проведения теста | -,1.0,1.0
"Плотность при 15°С, ASTM D4052","Плотность при 20°С, ASTM D4052",0.9999999558608716,0.9999903194560273
Массовая доля серы | ASTM D6481,Массовая доля фосфора | ASTM D6481,0.9995164325246646,0.9130756528084296
Массовая доля фосфора | ASTM D6481,Массовая доля цинка | ASTM D6481,0.9990500675359283,0.9999982525231718
Деэм.вода | ASTM D1401,Деэм.масло | ASTM D1401,0.9987888726611823,0.9960954352288127
Массовая доля серы | ASTM D6481,Массовая доля цинка | ASTM D6481,0.9980178619177951,0.9130741806273195
Последовательность 2 | ASTM D892,Последовательность 3 | ASTM D892,0.9965875157484835,0.7083779830997149
Последовательность 1 | ASTM D892,Последовательность 3 | ASTM D892,0.9921747431351312,0.5887857236597935
Последовательность 1 | ASTM D892,Последовательность 2 | ASTM D892,0.9920861767520156,0.556948971647591
"Массовая доля фосфора, ASTM D6481","Массовая доля цинка, ASTM D6481",0.9908438803171228,0.9782359279938139
"Динамическая вязкость CCS -15°C, ASTM D5293","Динамическая вязкость CCS -20°C, ASTM D5293",0.9657504952553425,0.8281626766955728
"Массовая доля кальция, ASTM D6481","Щелочное число, ASTM D2896",0.940313996159289,0.5982848352945652
"Динамическая вязкость CCS -20°C, ASTM D5293","Динамическая вязкость CCS -25°C, ASTM D5293",0.8966096669132186,0.9825218520347674
"Динамическая вязкость CCS -15°C, ASTM D5293","Динамическая вязкость CCS -25°C, ASTM D5293",0.8628380676874916,0.8074291110147892
"Индекс вязкости, ГОСТ 25371","Температура застывания, ГОСТ 20287, метод Б",-0.8052742415904887,-0.8925026631776504
"Массовая доля серы, ASTM D6481","Массовая доля фосфора, ASTM D6481",0.7718655214332829,0.761720918023093
"Массовая доля серы, ASTM D6481","Массовая доля цинка, ASTM D6481",0.7563625815590941,0.7313056130804645
"Динамическая вязкость CCS -25°C, ASTM D5293","Динамическая вязкость CCS -30°C, ASTM D5293",0.7285121021759529,0.8873937231221078
Деэм.время | ASTM D1401,Деэм.масло | ASTM D1401,0.7211120830066811,0.9987999421889691
"Температура испытания | ASTM D445 Daimler Oxidation Test (DOT), °C","Количество биотоплива | - Daimler Oxidation Test (DOT), % масс",-0.7194627409821052,-0.7259789904870372
Деэм.вода | ASTM D1401,Деэм.время | ASTM D1401,0.7149031150523052,0.9982379291000323
"Температура испытания | ASTM D445 Daimler Oxidation Test (DOT), °C","Время испытания | - Daimler Oxidation Test (DOT), ч",-0.6948453986262971,-0.7103342458213946
"Динамическая вязкость CCS -20°C, ASTM D5293","Динамическая вязкость CCS -30°C, ASTM D5293",0.6423199467734337,0.8705395033717941
Деэм.вода | ASTM D1401,"Индекс вязкости, ГОСТ 25371",0.6389432151774352,0.6453692556438485
Деэм.масло | ASTM D1401,"Индекс вязкости, ГОСТ 25371",0.6363140103979329,0.6413805855255343
"Температура испытания | ASTM D445 Daimler Oxidation Test (DOT), °C","Delta Kin. Viscosity KV100 - relative | - Daimler Oxidation Test (DOT), %",-0.6024224376067228,-0.6076740104687932
"Динамическая вязкость CCS -15°C, ASTM D5293","Динамическая вязкость CCS -30°C, ASTM D5293",0.5959755313625099,0.7017689046046464
Определение содержания воды методом Карла Фишера | ASTM D 6304,"Щелочное число, ГОСТ 11362",0.5794364772975525,0.3521039986347877
"Время испытания | - Daimler Oxidation Test (DOT), ч","Delta Kin. Viscosity KV100 - relative | - Daimler Oxidation Test (DOT), %",0.5233837485114025,0.45643144673634584
Деэм.вода | ASTM D1401,"Температура застывания, ГОСТ 20287, метод Б",-0.5196025407983708,-0.6150812678649212
Деэм.масло | ASTM D1401,"Температура застывания, ГОСТ 20287, метод Б",-0.5176474685890846,-0.6134757533330394
"Динамическая вязкость CCS -15°C, ASTM D5293","Индекс вязкости, ГОСТ 25371",0.5158193423055737,0.8814245112506893
"Время испытания | - Daimler Oxidation Test (DOT), ч","Количество биотоплива | - Daimler Oxidation Test (DOT), % масс",0.4977623314029824,0.49887914819388723
"Delta Kin. Viscosity KV100 - relative | - Daimler Oxidation Test (DOT), %","Количество биотоплива | - Daimler Oxidation Test (DOT), % масс",0.495431061318719,0.6657042011074055
"Кислотное число, ГОСТ 11362","Щелочное число, ASTM D2896",0.483272323746329,0.3223657016124676
"Динамическая вязкость CCS -20°C, ASTM D5293","Индекс вязкости, ГОСТ 25371",0.47647016222978206,0.7990811175450416
Деэм.масло | ASTM D1401,"Динамическая вязкость CCS -15°C, ASTM D5293",0.4593797370696433,0.6814452418859657
"Динамическая вязкость CCS -25°C, ASTM D5293","Индекс вязкости, ГОСТ 25371",0.45855070692000177,0.7924313879045388
Деэм.время | ASTM D1401,"Индекс вязкости, ГОСТ 25371",0.4497507746367854,0.6432617240422045
Деэм.вода | ASTM D1401,"Динамическая вязкость CCS -15°C, ASTM D5293",0.44741131592700767,0.6768448720974142
"Динамическая вязкость CCS -30°C, ASTM D5293","Индекс вязкости, ГОСТ 25371",0.43338049223651115,0.7121286242621813
