,null_mean_%
scenario_id,0.0
Компонент,0.0
Наименование партии,0.0
"Массовая доля, %",0.0
"Температура испытания | ASTM D445 Daimler Oxidation Test (DOT), °C",0.0
"Время испытания | - Daimler Oxidation Test (DOT), ч",0.0
"Delta Kin. Viscosity KV100 - relative | - Daimler Oxidation Test (DOT), %",0.0
"Oxidation EOT | DIN 51453 Daimler Oxidation Test (DOT), A/cm",0.0
"Количество биотоплива | - Daimler Oxidation Test (DOT), % масс",0.0
"Дозировка катализатора, категория",0.0
% масс. (Mo),0.0
CAS,0.0
COC (°C),0.0
SMILES для наиболее вероятной (средней) молекулы сульфокислоты,0.0
"Активный Азот / Кислород, % масс. (N или O)",0.0
Анилиновая точка,0.0
Атомное отношение P:Zn,0.0
Группа по API,0.0
Деаэрация | ASTM D3427,0.0
Деэм.вода | ASTM D1401,0.0
Деэм.время | ASTM D1401,0.0
Деэм.масло | ASTM D1401,0.0
Деэм.эмульсия | ASTM D1401,0.0
"Динамическая вязкость CCS -15°C, ASTM D5293",0.0
"Динамическая вязкость CCS -20°C, ASTM D5293",0.0
"Динамическая вязкость CCS -25°C, ASTM D5293",0.0
"Динамическая вязкость CCS -30°C, ASTM D5293",0.0
"Динамическая вязкость CCS -35°C, ASTM D5293",0.0
"Дипольный момент, Д",0.0
Длина углеродной цепи,0.0
"Индекс вязкости, ГОСТ 25371",0.0
Индекс полидисперсности,0.0
"Индекс стабильности, %",0.0
"Испаряемость по NOACK, ASTM D5800",0.0
Категория,0.0
Кинематическая вязкость,0.0
"Кинематическая вязкость, при -30⁰С | ASTM D445",0.0
"Кинематическая вязкость, при 100°C, ASTM D445",0.0
"Кинематическая вязкость, при 40°C, ASTM D445",0.0
"Кислотное число, ГОСТ 11362",0.0
Класс полиамина,0.0
Класс субстрата,0.0
"Масса гидрофобного хвоста, г/моль",0.0
Массовая доля кальция | ASTM D6481,0.0
"Массовая доля кальция, ASTM D6481",0.0
Массовая доля серы | ASTM D6481,0.0
"Массовая доля серы, ASTM D6481",0.0
"Массовая доля сульфатной золы, ГОСТ 12417",0.0
Массовая доля фосфора | ASTM D6481,0.0
"Массовая доля фосфора, ASTM D6481",0.0
Массовая доля цинка | ASTM D6481,0.0
"Массовая доля цинка, ASTM D6481",0.0
Модификация,0.0
Номер CAS,0.0
Номер CAS / SMILES,0.0
Общее содержание азота | ASTM D3228,0.0
Определение содержания воды методом Карла Фишера | ASTM D 6304,0.0
Отношение S:Mo,0.0
Отношение Мыло/Основание,0.0
"Плотность при 15°С, ASTM D4052",0.0
"Плотность при 20°С, ASTM D4052",0.0
Последовательность 1 | ASTM D892,0.0
Последовательность 2 | ASTM D892,0.0
Последовательность 3 | ASTM D892,0.0
"Потенциал ионизации,эВ",0.0
Происхождение,0.0
Разветвленность радикала / радикалов,0.0
"Размер мицелл, нм",0.0
"Содержание MgCO3, CaCO3, % масс.",0.0
Содержание Азота,0.0
Содержание Бора,0.0
Содержание ароматики,0.0
"Содержание воды, % масс.",0.0
"Содержание других элементов (например, бора)",0.0
Содержание масла,0.0
"Содержание масла, % масс.",0.0
"Содержание металла (Ca/Mg), % масс.",0.0
"Содержание мыла, % масс.",0.0
Содержание насыщ. у/в,0.0
Содержание полимера,0.0
"Содержание серы, % масс.",0.0
"Содержание серы, мг/кг",0.0
Соотношение мономеров (EO:PO),0.0
Средневесовая масса,0.0
Степень полисульфидности,0.0
"Стерический фактор, Å3",0.0
Структура УВ-радикала,0.0
"Температура застывания, ГОСТ 20287, метод Б",0.0
"Температура плавления, °C",0.0
Температура проведения теста | -,0.0
"Температура разложения, °C",0.0
Тип АО,0.0
Тип лиганда,0.0
Тип полимера,0.0
Тип спиртового радикала,0.0
Тип сукцинимида,0.0
"Химический потенциал, Дж/моль",0.0
Цвет | ASTM D1500,0.0
Цвет Сейболт | -,0.0
"Щелочное число, ASTM D2896",0.0
"Щелочное число, ГОСТ 11362",0.0
"Энергия ВЗМО, эВ",0.0
"Энергия НСМО, эВ",0.0
"Энергия диссоциации связи Х-Н, ккал/моль",0.0
