,"Массовая доля, %","Температура испытания | ASTM D445 Daimler Oxidation Test (DOT), °C","Время испытания | - Daimler Oxidation Test (DOT), ч","Delta Kin. Viscosity KV100 - relative | - Daimler Oxidation Test (DOT), %","Oxidation EOT | DIN 51453 Daimler Oxidation Test (DOT), A/cm","Количество биотоплива | - Daimler Oxidation Test (DOT), % масс","Дозировка катализатора, категория",% масс. (Mo),CAS,COC (°C),SMILES для наиболее вероятной (средней) молекулы сульфокислоты,"Активный Азот / Кислород, % масс. (N или O)",Анилиновая точка,Атомное отношение P:Zn,Группа по API,Деаэрация | ASTM D3427,Деэм.вода | ASTM D1401,Деэм.время | ASTM D1401,Деэм.масло | ASTM D1401,Деэм.эмульсия | ASTM D1401,"Динамическая вязкость CCS -15°C, ASTM D5293","Динамическая вязкость CCS -20°C, ASTM D5293","Динамическая вязкость CCS -25°C, ASTM D5293","Динамическая вязкость CCS -30°C, ASTM D5293","Динамическая вязкость CCS -35°C, ASTM D5293","Дипольный момент, Д",Длина углеродной цепи,"Индекс вязкости, ГОСТ 25371",Индекс полидисперсности,"Индекс стабильности, %","Испаряемость по NOACK, ASTM D5800",Категория,Кинематическая вязкость,"Кинематическая вязкость, при -30⁰С | ASTM D445","Кинематическая вязкость, при 100°C, ASTM D445","Кинематическая вязкость, при 40°C, ASTM D445","Кислотное число, ГОСТ 11362",Класс полиамина,Класс субстрата,"Масса гидрофобного хвоста, г/моль",Массовая доля кальция | ASTM D6481,"Массовая доля кальция, ASTM D6481",Массовая доля серы | ASTM D6481,"Массовая доля серы, ASTM D6481","Массовая доля сульфатной золы, ГОСТ 12417",Массовая доля фосфора | ASTM D6481,"Массовая доля фосфора, ASTM D6481",Массовая доля цинка | ASTM D6481,"Массовая доля цинка, ASTM D6481",Модификация,Номер CAS,Номер CAS / SMILES,Общее содержание азота | ASTM D3228,Определение содержания воды методом Карла Фишера | ASTM D 6304,Отношение S:Mo,Отношение Мыло/Основание,"Плотность при 15°С, ASTM D4052","Плотность при 20°С, ASTM D4052",Последовательность 1 | ASTM D892,Последовательность 2 | ASTM D892,Последовательность 3 | ASTM D892,"Потенциал ионизации,эВ",Происхождение,Разветвленность радикала / радикалов,"Размер мицелл, нм","Содержание MgCO3, CaCO3, % масс.",Содержание Азота,Содержание Бора,Содержание ароматики,"Содержание воды, % масс.","Содержание других элементов (например, бора)",Содержание масла,"Содержание масла, % масс.","Содержание металла (Ca/Mg), % масс.","Содержание мыла, % масс.",Содержание насыщ. у/в,Содержание полимера,"Содержание серы, % масс.","Содержание серы, мг/кг",Соотношение мономеров (EO:PO),Средневесовая масса,Степень полисульфидности,"Стерический фактор, Å3",Структура УВ-радикала,"Температура застывания, ГОСТ 20287, метод Б","Температура плавления, °C",Температура проведения теста | -,"Температура разложения, °C",Тип АО,Тип лиганда,Тип полимера,Тип спиртового радикала,Тип сукцинимида,"Химический потенциал, Дж/моль",Цвет | ASTM D1500,Цвет Сейболт | -,"Щелочное число, ASTM D2896","Щелочное число, ГОСТ 11362","Энергия ВЗМО, эВ","Энергия НСМО, эВ","Энергия диссоциации связи Х-Н, ккал/моль"
"Массовая доля, %",1.0,-0.012582933969218767,0.008329244387260393,0.012503314898496664,0.023740087798770067,0.008048319899197636,-0.00869694236796328,,,,,,,,,0.02336667742832424,0.04553288123413321,0.08357293861123356,0.04844875540533495,0.07453008614548487,0.13955904701208385,0.14088957155138526,0.11888656543331548,0.08912644618525911,0.035674905797952544,,,0.11392746507469792,,,0.15907711393486468,,,,-0.07247491233622887,-0.058411374709406834,-0.007223367969535527,,,,-0.03172397458298296,-0.028273688030437515,0.007702529705451591,0.07675306400220343,0.013932038994311342,0.0068891825699841135,0.15176810132114002,0.0062817670841072695,0.15127507549642025,,,,-0.02514514733359939,0.040599295561140086,,,0.19559191569862136,0.1955671350294203,0.009786013454427749,0.004996053573006732,0.008082447049572566,,,,,,,,,,,,,,,,,,,,,,,,-0.1704928433124639,,0.02336667742832423,,,,,,,,-0.00220610647843564,0.0020141838126177913,-0.054412266759052,0.04761543825303443,,,
"Температура испытания | ASTM D445 Daimler Oxidation Test (DOT), °C",-0.012582933969218767,1.0,-0.6948453986262971,-0.6024224376067228,-0.32029515076867243,-0.7194627409821052,-0.08666802769671482,,,,,,,,,0.008033111879938222,0.13729296503163804,0.09905875787785698,0.13731001018552272,0.027981708196488972,0.10782217511433308,0.10509491431931603,0.1019994809575827,0.04462452161664199,0.07168459590857082,,,0.15801117233832196,,,0.09957756370944021,,,,0.10784888015430878,0.06480536335139024,0.06271819408628872,,,,0.009913596605000866,0.022365648138977717,0.022078852311962296,-0.06524029559875795,-0.00310961901795922,0.02210215084335098,-0.01909450846438273,0.022093661906473164,-0.011707572351515089,,,,0.01462070743178229,-0.013991712531321103,,,-0.04213905192735977,-0.042110839381718355,0.03189291033688998,0.02798170819648905,0.030016221403953065,,,,,,,,,,,,,,,,,,,,,,,,-0.14282800792573014,,0.00803311187993824,,,,,,,,0.0015135512429246948,0.009877481452664288,0.008267420730849979,-0.005038564802530694,,,
"Время испытания | - Daimler Oxidation Test (DOT), ч",0.008329244387260393,-0.6948453986262971,1.0,0.5233837485114025,0.3237361284031412,0.4977623314029824,0.0689864792196338,,,,,,,,,0.004409859631048168,-0.099595845785092,-0.07185976915126185,-0.09960821077784494,-0.020298650362010687,-0.0738704919356865,-0.07267771347101876,-0.07061110421976145,-0.03560482082522108,-0.047938952969785766,,,-0.10059111380178712,,,-0.0722418754584536,,,,-0.06769355615731616,-0.0468365482505673,-0.045248094048125895,,,,-0.007191577794388098,-0.022302797701373046,-0.016016566977538185,0.0350984059588511,0.015196320442116358,-0.016033468331068338,0.010439187938693114,-0.01602731023805923,0.006423786733829935,,,,-0.010606236978778829,0.005699779330436137,,,0.046066473625862074,0.046049620763999606,-0.02313593692742163,-0.02029865036201071,-0.0217745385374291,,,,,,,,,,,,,,,,,,,,,,,,0.09208680398728347,,0.0044098596310481785,,,,,,,,0.0019343959404959602,-0.007165378934586818,-0.011954023695699482,0.002149644338424769,,,
"Delta Kin. Viscosity KV100 - relative | - Daimler Oxidation Test (DOT), %",0.012503314898496664,-0.6024224376067228,0.5233837485114025,1.0,0.34906624677674813,0.495431061318719,-0.033583459245162046,,,,,,,,,-0.008261662784966128,-0.08081514470385813,-0.05499592680452975,-0.08095423687223381,-0.01853207613878276,-0.06527154749351943,-0.05990488865284616,-0.0569554132828428,-0.01996422543191481,-0.041579671318692266,,,-0.11923974420168137,,,-0.0696162000050462,,,,-0.1021929347622674,-0.031017903361666804,-0.03611694392209986,,,,-0.0007622709173199043,0.0032352203568658767,-0.018970573836737725,0.04807935482342435,-0.008481855280948103,-0.019003963587491006,0.02489291108905601,-0.01902992291278785,0.01704891873364436,,,,-0.010320752609400506,-0.012149852384937406,,,0.03351792949327186,0.03349719299315316,0.002251972406896743,0.002980545482946688,0.0018547257151829445,,,,,,,,,,,,,,,,,,,,,,,,0.11260306582346788,,-0.008261662784966152,,,,,,,,0.0066044319330249976,-0.009158915545396183,0.011951047224274064,-0.013303406803535596,,,
"Oxidation EOT | DIN 51453 Daimler Oxidation Test (DOT), A/cm",0.023740087798770067,-0.32029515076867243,0.3237361284031412,0.34906624677674813,1.0,0.2778139841835457,0.20041883995365764,,,,,,,,,-0.049795548693918626,0.061858729756690774,0.07609006408833134,0.06161371842004058,0.01113938378128138,0.10308000797516606,0.11629131484278638,0.11626223859308026,0.08416468340171143,0.08028048654316813,,,0.0024200493939103103,,,0.022847012144161773,,,,0.004458305529774609,0.0991524255041625,0.052959424246142556,,,,0.022032692458943372,-0.014682323819288492,-0.02716316996030561,-0.015214328320542644,-0.03622028841654352,-0.027214041117763182,0.028010913035509847,-0.027310323153763,0.030647763291835307,,,,-0.029191841409579672,-0.025552307741952385,,,0.009390515578501209,0.009393402497847734,0.11730054075358486,0.10624686510530545,0.106403432278558,,,,,,,,,,,,,,,,,,,,,,,,0.019772734545138226,,-0.04979554869391863,,,,,,,,-0.018574510841896503,-0.014730068026686067,0.002381076113211051,-0.011399316498806364,,,
"Количество биотоплива | - Daimler Oxidation Test (DOT), % масс",0.008048319899197636,-0.7194627409821052,0.4977623314029824,0.495431061318719,0.2778139841835457,1.0,0.30002295578226357,,,,,,,,,-0.01081492849186579,-0.199514342825068,-0.14395233560957546,-0.19953911286827258,-0.04066306034441625,-0.14581272510916055,-0.13564413664218197,-0.12959274110372496,-0.05722242785080818,-0.04903047501732654,,,-0.21072370207255423,,,-0.12806415517078243,,,,-0.13115328596939618,-0.094004098769868,-0.07430753056439567,,,,-0.014406453464120955,-0.04902738120239784,-0.03208502131436807,0.05621105301850691,-0.0006838168451217655,-0.032118878775147255,0.018507440159731568,-0.032106542639336745,0.01218562783363646,,,,-0.021246833981751624,-0.004005643161391436,,,0.0850293117594017,0.08500513868642041,-0.04634682516454597,-0.040663060344416455,-0.04361961799077912,,,,,,,,,,,,,,,,,,,,,,,,0.2027710476794005,,-0.01081492849186582,,,,,,,,-0.0021545091586654113,-0.014353970870546707,-0.028252096662553284,-0.0046904010398890385,,,
"Дозировка катализатора, категория",-0.00869694236796328,-0.08666802769671482,0.0689864792196338,-0.033583459245162046,0.20041883995365764,0.30002295578226357,1.0,,,,,,,,,0.047669520294695365,-0.07473463156137519,-0.05392206200239839,-0.07474390999232132,-0.015231681040908577,-0.010145623917389464,-0.0067591402381198245,-0.000621031024961744,0.017652213280539165,0.08057335224634446,,,-0.028208085411192386,,,0.0007149399816016073,,,,-0.009152876531172338,-0.03446184185474535,0.007069858620813979,,,,-0.005396408982441844,-0.051099919647489236,-0.012018495575882419,-0.021056031298449483,-0.012033580431578568,-0.01203117799671046,-0.02162935498312698,-0.012026557093011814,-0.016672211488066403,,,,-0.00795869754017707,-0.015210638233967197,,,0.035413967680089475,0.03540742654111819,-0.01736072130788487,-0.015231681040908655,-0.01633915653997398,,,,,,,,,,,,,,,,,,,,,,,,0.023090033998237645,,0.04766952029469539,,,,,,,,-0.017278793679956803,-0.0053767499081185804,-0.03311261936789977,-0.020334151864037385,,,
% масс. (Mo),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COC (°C),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
