,"Массовая доля, %","Температура испытания | ASTM D445 Daimler Oxidation Test (DOT), °C","Время испытания | - Daimler Oxidation Test (DOT), ч","Delta Kin. Viscosity KV100 - relative | - Daimler Oxidation Test (DOT), %","Oxidation EOT | DIN 51453 Daimler Oxidation Test (DOT), A/cm","Количество биотоплива | - Daimler Oxidation Test (DOT), % масс","Дозировка катализатора, категория",Деаэрация | ASTM D3427,Деэм.вода | ASTM D1401,Деэм.время | ASTM D1401,Деэм.масло | ASTM D1401,Деэм.эмульсия | ASTM D1401,"Динамическая вязкость CCS -15°C, ASTM D5293","Динамическая вязкость CCS -20°C, ASTM D5293","Динамическая вязкость CCS -25°C, ASTM D5293","Динамическая вязкость CCS -30°C, ASTM D5293","Динамическая вязкость CCS -35°C, ASTM D5293","Индекс вязкости, ГОСТ 25371","Испаряемость по NOACK, ASTM D5800","Кинематическая вязкость, при -30⁰С | ASTM D445","Кинематическая вязкость, при 100°C, ASTM D445","Кинематическая вязкость, при 40°C, ASTM D445","Кислотное число, ГОСТ 11362",Массовая доля кальция | ASTM D6481,"Массовая доля кальция, ASTM D6481",Массовая доля серы | ASTM D6481,"Массовая доля серы, ASTM D6481","Массовая доля сульфатной золы, ГОСТ 12417",Массовая доля фосфора | ASTM D6481,"Массовая доля фосфора, ASTM D6481",Массовая доля цинка | ASTM D6481,"Массовая доля цинка, ASTM D6481",Общее содержание азота | ASTM D3228,Определение содержания воды методом Карла Фишера | ASTM D 6304,"Плотность при 15°С, ASTM D4052","Плотность при 20°С, ASTM D4052",Последовательность 1 | ASTM D892,Последовательность 2 | ASTM D892,Последовательность 3 | ASTM D892,"Температура застывания, ГОСТ 20287, метод Б",Температура проведения теста | -,Цвет | ASTM D1500,Цвет Сейболт | -,"Щелочное число, ASTM D2896","Щелочное число, ГОСТ 11362"
"Массовая доля, %",1.0,-0.010975593543756802,0.007538290072207758,0.017940871232654868,0.020296507813615756,0.008197152502390026,-0.007275308793400307,0.028780808628782618,0.036244635430656216,0.04174320144510481,0.04255188290924246,0.06865670930640146,0.16086828255016924,0.20862418393420323,0.1987678030258741,0.18506448035288878,0.08080680720738885,0.10657753658603063,0.10582943557187459,,0.054175588626561556,0.20415613847927339,0.013338058520806438,-0.004864755747214322,0.08435235692215062,0.011009988769333607,0.09429347980002176,0.01685337936280879,-0.0047698781442365576,0.13011114015118652,-0.004809707555671625,0.1350607971270551,-0.021582941830130268,0.043819386338912227,0.1778498168899259,0.17763978692889396,0.06841996802841546,0.006159407718287756,0.028942829499614783,-0.14738179287523434,0.028780808628782618,0.017738626855496386,0.00692800269563632,-0.030094523791657366,0.09230514411752558
"Температура испытания | ASTM D445 Daimler Oxidation Test (DOT), °C",-0.010975593543756802,1.0,-0.7103342458213946,-0.6076740104687932,-0.35221513230285173,-0.7259789904870372,-0.08371666604942334,0.008414777349740183,0.13799647638982823,0.13808259788535646,0.13799816042472843,0.028142367402035632,0.16296201313912884,0.09990628299224046,0.09754404137020072,0.018908435750396736,0.12425361286912652,0.15882660875420715,0.14939421028221542,,0.13464041838375587,0.08105755995157603,0.048495230020403006,0.024361015339440382,0.08532239658907254,0.02223347296643962,0.04785375451839219,-0.0027033276764915634,0.024361015339440382,0.077193382515889,0.024361015339440382,0.08736482988277458,0.019881761478217352,-0.011383565947181071,-0.04391928129155887,-0.0438449989759025,0.050940053398950406,0.028142367402035632,0.03987086691981033,-0.1539055816300754,0.008414777349740183,-0.013737607099456584,0.00993419379888144,0.009843720177309893,0.014163481251332776
"Время испытания | - Daimler Oxidation Test (DOT), ч",0.007538290072207758,-0.7103342458213946,1.0,0.45643144673634584,0.3039245991733369,0.49887914819388723,0.06898647921963467,0.0044098596310481524,-0.09953470457584732,-0.09959682266639057,-0.0995359192439365,-0.02029865036201059,-0.10716285236226197,-0.06516252627217947,-0.06343991115378758,-0.01478356339044881,-0.07477424301145802,-0.10135936432295461,-0.10621485284699358,,-0.08931441084719262,-0.05451473569128152,-0.032334638635394555,-0.017571220138470248,-0.06147756055443958,-0.016036657031431107,-0.03690080320852567,0.015196320442116083,-0.017571220138470248,-0.05315362836862269,-0.017571220138470248,-0.0600989774908505,-0.014340404240406338,0.004454172637039195,0.04596621175013192,0.04586729468258427,-0.036742265446106356,-0.02029865036201059,-0.02875823400617472,0.09953032608484078,0.0044098596310481524,0.01539339574377639,-0.00716537893458679,-0.010090855706926319,0.002259031560174822
"Delta Kin. Viscosity KV100 - relative | - Daimler Oxidation Test (DOT), %",0.017940871232654868,-0.6076740104687932,0.45643144673634584,1.0,0.47377687661646556,0.6657042011074055,0.1329379454748015,0.018752976689963844,-0.0663513089657264,-0.06582137285693065,-0.06731383788623521,-0.022778545777495694,-0.11200659548306846,-0.058811730439333146,-0.05950152870147555,-0.011432938906824055,-0.09092127774648538,-0.11481878492182199,-0.10918728664308941,,-0.0846579619704563,-0.03216348035615297,-0.03303793065104849,-0.03894972294969023,-0.07903384817793081,-0.05293420259603848,-0.021893776447913706,0.008976767017954405,-0.039028220981526314,-0.05751268139423914,-0.03904396038869326,-0.060810470310740404,-0.0475168963394268,0.008342494055359138,0.09244695738849906,0.09245136014617332,0.07267062321368341,0.07244859214550804,0.05871263045269312,0.1231305061215833,0.018752976689963844,-0.029410516947227117,-0.030616644874072573,-0.010910428780213163,-0.021951872346879352
"Oxidation EOT | DIN 51453 Daimler Oxidation Test (DOT), A/cm",0.020296507813615756,-0.35221513230285173,0.3039245991733369,0.47377687661646556,1.0,0.257369535943011,0.1898397460873575,-0.050945867457681204,0.07504553310730283,0.07630416335141137,0.07511418999870048,0.019306415638050946,0.032913894327442905,0.05027456405047206,0.045457902305161384,0.03016698819792062,0.008023348627990798,0.019858672344721814,0.05083947725360301,,0.04248327899736331,0.09288576094153407,0.050390762377978494,-0.0052778050669973755,0.012955286959321815,-0.016221567620624815,0.015222510326567426,-0.034066050586038434,-0.0053327964939580055,0.008210068536671515,-0.005338103266161685,0.017820949102356796,-0.055574476025020136,-0.022587254005309632,0.004692387676302199,0.0049796992997451816,0.13151611965732074,0.09111416432683064,0.08416854304255639,-0.0021421379253234573,-0.050945867457681204,-0.004546664115752978,-0.011466844211734073,0.007414821753949323,0.0097532626202545
"Количество биотоплива | - Daimler Oxidation Test (DOT), % масс",0.008197152502390026,-0.7259789904870372,0.49887914819388723,0.6657042011074055,0.257369535943011,1.0,0.2984503965070129,-0.010846044606694668,-0.19925659607026208,-0.19938094907184856,-0.19925902769076906,-0.04063547476420681,-0.22936212127398434,-0.13366708416850726,-0.13017104285869296,-0.03460516214151514,-0.1314900441575226,-0.21198768774149174,-0.21547639219695897,,-0.1705812100250187,-0.1162894598942927,-0.0544458498337001,-0.03517548505832811,-0.12888619194299908,-0.03210347291475842,-0.09249705066885318,-0.0008686302324030338,-0.03517548505832811,-0.11685086579961343,-0.03517548505832811,-0.13096020713535356,-0.028707777326424988,-0.0057040560034778524,0.08453055366310308,0.0845732369024389,-0.07355362911759401,-0.04063547476420681,-0.05757055131153636,0.21895168354368869,-0.010846044606694668,0.021235211907982433,-0.01434423322140222,-0.02241468865009646,-0.00019514171639827783
"Дозировка катализатора, категория",-0.007275308793400307,-0.08371666604942334,0.06898647921963467,0.1329379454748015,0.1898397460873575,0.2984503965070129,1.0,0.04766952029469541,-0.07468875248167992,-0.07473536459259127,-0.07468966394311084,-0.015231681040908593,-0.028389061421528243,-0.018583021849372244,-0.017200097173928324,0.012931854963483242,-0.020191226029047528,-0.027547811214014627,-0.04414887990491885,,-0.007930694707139242,-0.03083462735816061,-0.0008968156479851376,-0.013185074666326669,-0.0269963841557933,-0.01203357073051275,-0.023561594307637,-0.012033580431578607,-0.013185074666326669,-0.02014840290873841,-0.013185074666326669,-0.023321598094418763,-0.010760738250674856,-0.015231656449248104,0.03471565715087044,0.03513535076945843,-0.027570624549643985,-0.015231681040908593,-0.02157957498995399,0.029336790481193316,0.04766952029469541,-0.01867165935003613,-0.00537674990811857,-0.004326142246828107,-0.011059011513745939
Деаэрация | ASTM D3427,0.028780808628782618,0.008414777349740183,0.0044098596310481524,0.018752976689963844,-0.050945867457681204,-0.010846044606694668,0.04766952029469541,1.0,-0.017654413774276647,-0.017665431624563053,-0.017654629219262752,-0.0036003600360036,0.1539046424415486,0.12243208616551607,0.11905149861798191,0.11478455884640638,-0.018806466120698313,0.15194904146170782,-0.022532454904816823,,0.014914494145532692,0.11282091645292465,-0.009179268918514914,-0.00311659729302829,0.0730480094660713,-0.002844412710074471,0.09792853777517242,-0.0028444150031457175,-0.00311659729302829,0.08779910367669838,-0.00311659729302829,0.09497658013407342,-0.0025435493201027533,-0.0036003542231959782,0.2189686732412039,0.2189686732412039,-0.00651695466374319,-0.0036003600360036,-0.005100831561474095,-0.14893430641300734,1.0,-0.004413478456461492,-0.0012709191743698293,-0.03187707308133917,-0.010477378834650062
Деэм.вода | ASTM D1401,0.036244635430656216,0.13799647638982823,-0.09953470457584732,-0.0663513089657264,0.07504553310730283,-0.19925659607026208,-0.07468875248167992,-0.017654413774276647,1.0,0.9982379291000323,0.9960954352288127,0.19484323516610377,0.6768448720974142,0.5704080924854664,0.5503942273659401,0.4716569646377509,0.4483417417766106,0.6453692556438485,0.7577475186959991,,0.023529749934597867,0.48966413589182517,-0.04501066838101553,-0.015282276669192796,0.26646511286184776,-0.013947615912381518,0.4945203379504107,-0.013947627156487159,-0.015282276669192796,0.349506748229742,-0.015282276669192796,0.32736065699977906,-0.012472328240321892,-0.01765438527109643,-0.0755212968458336,-0.0755212968458336,0.24507289541923297,0.21244805789045268,0.29200742936317753,-0.6150812678649212,-0.017654413774276647,-0.02164155086576155,-0.006231969234635894,-0.1563096558297246,-0.05137596778295528
Деэм.время | ASTM D1401,0.04174320144510481,0.13808259788535646,-0.09959682266639057,-0.06582137285693065,0.07630416335141137,-0.19938094907184856,-0.07473536459259127,-0.017665431624563053,0.9982379291000323,1.0,0.9987999421889691,0.2088093715622509,0.6800543054446068,0.5734242553991,0.5515622798443813,0.4691899304807125,0.44250989226100207,0.6432617240422045,0.7574147099853279,,0.026091660806765036,0.4925910382154139,-0.04503875885243269,-0.015291814104903175,0.2659916309832458,-0.013956320406676243,0.4968810301937094,-0.01395633165779916,-0.015291814104903175,0.348654555690383,-0.015291814104903175,0.32620517152195017,-0.012480112030088676,-0.017665403103594438,-0.07556842853498065,-0.07556842853498065,0.253151714114785,0.20196153570778547,0.29193389891504884,-0.6135857636899777,-0.017665431624563053,-0.02165505702747574,-0.00623585851155523,-0.15640720630114047,-0.05140803074061499
