scenario_id,"Температура испытания | ASTM D445 Daimler Oxidation Test (DOT), °C","Время испытания | - Daimler Oxidation Test (DOT), ч","Количество биотоплива | - Daimler Oxidation Test (DOT), % масс","Дозировка катализатора, категория"
train_1,160,168,0,1
train_2,160,168,0,1
train_3,160,168,0,1
train_4,160,168,0,1
train_5,160,168,0,1
train_6,160,168,0,1
train_7,160,168,0,1
train_8,160,168,0,1
train_9,160,168,0,1
train_10,160,168,0,1
train_11,160,168,0,1
train_12,160,168,0,1
train_13,160,168,0,1
train_14,160,168,0,1
train_15,160,168,0,1
train_16,160,168,0,1
train_17,160,168,0,1
train_18,160,168,0,1
train_19,160,168,0,1
train_20,160,168,0,1
train_21,160,168,0,1
train_22,160,168,0,1
train_23,160,168,0,1
train_24,160,168,0,1
train_25,160,168,0,1
train_26,160,168,0,1
train_27,160,168,0,1
train_28,160,168,0,1
train_29,160,168,0,1
train_30,160,168,0,1
train_31,160,168,0,1
train_32,160,168,0,1
train_33,160,168,0,1
train_34,160,168,0,1
train_35,160,168,0,1
train_36,160,168,0,1
train_37,160,168,0,1
train_38,160,168,0,1
train_39,160,168,0,1
train_40,160,168,0,1
train_41,160,168,0,1
train_42,160,168,0,1
train_43,160,168,0,1
train_44,160,168,0,1
train_45,160,168,0,1
train_46,160,168,0,1
train_47,160,168,0,1
train_48,160,168,0,1
train_49,160,168,0,1
train_50,160,168,0,1
train_51,160,168,0,1
train_52,160,168,0,1
train_53,160,168,0,1
train_54,160,168,0,1
train_55,160,168,0,1
train_56,160,168,0,1
train_57,160,168,0,1
train_58,160,168,0,1
train_59,160,168,0,1
train_60,160,168,0,1
train_61,160,168,0,1
train_62,160,168,0,1
train_63,160,168,0,1
train_64,160,168,0,1
train_65,160,168,0,1
train_66,160,168,0,1
train_67,160,168,0,1
train_68,160,168,0,1
train_69,160,168,0,1
train_70,160,168,0,1
train_71,160,168,0,1
train_72,160,168,0,1
train_73,160,168,0,1
train_74,160,168,0,1
train_75,160,168,0,1
train_76,160,168,0,1
train_77,160,168,0,1
train_78,160,168,0,1
train_79,160,168,0,1
train_80,160,168,0,1
train_81,150,168,7,1
train_82,150,216,7,1
train_83,150,168,7,1
train_84,150,216,7,1
train_85,150,168,7,1
train_86,150,216,7,1
train_87,160,168,7,1
train_88,150,216,7,1
train_89,160,168,0,1
train_90,154,216,7,1
train_91,160,168,0,1
train_92,160,168,0,1
train_93,160,168,0,1
train_94,160,168,0,1
train_95,160,168,0,1
train_96,160,168,0,1
train_97,160,168,0,1
train_98,160,168,0,1
train_99,160,168,0,1
train_100,150,168,7,1
train_101,150,216,7,1
train_102,150,168,7,1
train_103,160,168,7,1
train_104,160,168,7,1
train_105,160,168,7,1
train_106,150,168,7,1
train_107,150,216,7,1
train_108,160,168,7,1
train_109,150,168,7,1
train_110,150,216,7,1
train_111,160,168,7,1
train_112,150,168,7,1
train_113,150,216,7,1
train_114,150,168,7,1
train_115,150,216,7,1
train_116,160,168,7,1
train_117,150,168,7,1
train_118,150,216,7,1
train_119,160,168,7,1
train_120,160,168,5,1
train_121,160,168,5,1
train_122,160,168,5,1
train_123,160,168,5,1
train_124,160,168,5,1
train_125,154,216,7,1
train_126,160,168,5,1
train_127,160,168,0,1
train_128,160,168,0,1
train_129,160,168,0,1
train_130,150,216,0,1
train_131,160,168,0,1
train_132,160,168,0,1
train_133,160,168,0,1
train_134,160,168,0,1
train_135,160,168,0,1
train_136,160,168,0,1
train_137,160,168,0,1
train_138,160,168,0,1
train_139,160,168,5,2
train_140,160,168,5,2
train_141,160,168,5,2
train_142,160,168,0,1
train_143,160,168,0,1
train_144,160,168,0,1
train_145,160,168,0,1
train_146,160,168,0,1
train_147,160,168,0,1
train_148,160,168,0,1
train_149,160,168,0,1
train_150,160,168,0,1
train_151,160,168,0,1
train_152,160,168,5,1
train_153,150,168,7,2
train_154,150,216,7,2
train_155,160,168,5,2
train_156,150,168,7,1
train_157,150,216,7,1
train_158,150,168,7,1
train_159,150,216,7,1
train_160,160,168,5,1
train_161,160,168,5,2
train_162,160,168,0,1
train_163,160,168,0,1
train_164,160,168,0,1
train_165,150,216,7,2
train_166,160,168,5,2
train_167,160,168,0,1
