target,feature,spearman,abs_spearman
"Delta Kin. Viscosity KV100 - relative | - Daimler Oxidation Test (DOT), %","Массовая доля, %",-0.010374120374477784,0.010374120374477784
"Delta Kin. Viscosity KV100 - relative | - Daimler Oxidation Test (DOT), %","Температура испытания | ASTM D445 Daimler Oxidation Test (DOT), °C",-0.42853576494655093,0.42853576494655093
"Delta Kin. Viscosity KV100 - relative | - Daimler Oxidation Test (DOT), %","Время испытания | - Daimler Oxidation Test (DOT), ч",0.45929905045856084,0.45929905045856084
"Delta Kin. Viscosity KV100 - relative | - Daimler Oxidation Test (DOT), %","Количество биотоплива | - Daimler Oxidation Test (DOT), % масс",0.6727602220497263,0.6727602220497263
"Delta Kin. Viscosity KV100 - relative | - Daimler Oxidation Test (DOT), %","Дозировка катализатора, категория",0.17706925805052154,0.17706925805052154
"Delta Kin. Viscosity KV100 - relative | - Daimler Oxidation Test (DOT), %",% масс. (Mo),0.08092028119705846,0.08092028119705846
"Delta Kin. Viscosity KV100 - relative | - Daimler Oxidation Test (DOT), %",COC (°C),0.08448143496327905,0.08448143496327905
"Delta Kin. Viscosity KV100 - relative | - Daimler Oxidation Test (DOT), %","Активный Азот / Кислород, % масс. (N или O)",-0.20093153579186762,0.20093153579186762
"Delta Kin. Viscosity KV100 - relative | - Daimler Oxidation Test (DOT), %",Атомное отношение P:Zn,0.11625856691706979,0.11625856691706979
"Delta Kin. Viscosity KV100 - relative | - Daimler Oxidation Test (DOT), %",Группа по API,-0.012056847334007286,0.012056847334007286
"Delta Kin. Viscosity KV100 - relative | - Daimler Oxidation Test (DOT), %",Деэм.вода | ASTM D1401,-0.011875027852650443,0.011875027852650443
"Delta Kin. Viscosity KV100 - relative | - Daimler Oxidation Test (DOT), %",Деэм.время | ASTM D1401,-0.039499512881676045,0.039499512881676045
"Delta Kin. Viscosity KV100 - relative | - Daimler Oxidation Test (DOT), %",Деэм.масло | ASTM D1401,-0.08111134279758878,0.08111134279758878
"Delta Kin. Viscosity KV100 - relative | - Daimler Oxidation Test (DOT), %",Деэм.эмульсия | ASTM D1401,-0.07824067319457405,0.07824067319457405
"Delta Kin. Viscosity KV100 - relative | - Daimler Oxidation Test (DOT), %","Динамическая вязкость CCS -15°C, ASTM D5293",-0.2167891782708324,0.2167891782708324
"Delta Kin. Viscosity KV100 - relative | - Daimler Oxidation Test (DOT), %","Динамическая вязкость CCS -20°C, ASTM D5293",-0.22754131233283983,0.22754131233283983
"Delta Kin. Viscosity KV100 - relative | - Daimler Oxidation Test (DOT), %","Динамическая вязкость CCS -25°C, ASTM D5293",-0.23086036533987775,0.23086036533987775
"Delta Kin. Viscosity KV100 - relative | - Daimler Oxidation Test (DOT), %","Динамическая вязкость CCS -30°C, ASTM D5293",-0.04563375771613532,0.04563375771613532
"Delta Kin. Viscosity KV100 - relative | - Daimler Oxidation Test (DOT), %","Динамическая вязкость CCS -35°C, ASTM D5293",-0.25768078746507217,0.25768078746507217
"Delta Kin. Viscosity KV100 - relative | - Daimler Oxidation Test (DOT), %","Дипольный момент, Д",-0.055545356292346505,0.055545356292346505
"Delta Kin. Viscosity KV100 - relative | - Daimler Oxidation Test (DOT), %",Длина углеродной цепи,0.19228681304689224,0.19228681304689224
